列番号(0始まり),楽天CSV列名,使用状況,区分(A-E),データ元,生成方法,備考,実データ例(先頭50文字)
30,商品画像パス2,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_2""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_1.jpg
31,商品画像名（ALT）2,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
32,商品画像タイプ3,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
33,商品画像パス3,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_3""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_2.jpg
34,商品画像名（ALT）3,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
35,商品画像タイプ4,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
36,商品画像パス4,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_4""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_3.jpg
37,商品画像名（ALT）4,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
38,商品画像タイプ5,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
39,商品画像パス5,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_5""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_4.jpg
40,商品画像名（ALT）5,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
41,商品画像タイプ6,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
42,商品画像パス6,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_6""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_5.jpg
43,商品画像名（ALT）6,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
44,商品画像タイプ7,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
45,商品画像パス7,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_7""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_7.jpg
46,商品画像名（ALT）7,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
47,商品画像タイプ8,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
48,商品画像パス8,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_8""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/temporary/f-bic-prt-charge.jpg
49,商品画像名（ALT）8,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
50,商品画像タイプ9,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
51,商品画像パス9,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_9""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_8.jpg
52,商品画像名（ALT）9,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
53,商品画像タイプ10,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
54,商品画像パス10,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_10""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_9.jpg
55,商品画像名（ALT）10,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
56,商品画像タイプ11,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
57,商品画像パス11,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_11""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_10.jpg
58,商品画像名（ALT）11,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
59,商品画像タイプ12,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
60,商品画像パス12,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_12""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_11.jpg
61,商品画像名（ALT）12,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
62,商品画像タイプ13,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
63,商品画像パス13,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_13""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_12.jpg
64,商品画像名（ALT）13,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
65,商品画像タイプ14,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
66,商品画像パス14,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_14""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_13.jpg
67,商品画像名（ALT）14,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
68,商品画像タイプ15,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
69,商品画像パス15,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_15""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_14.jpg
70,商品画像名（ALT）15,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
71,商品画像タイプ16,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
72,商品画像パス16,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_16""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_15.jpg
73,商品画像名（ALT）16,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
74,商品画像タイプ17,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
75,商品画像パス17,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_17""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_16.jpg
76,商品画像名（ALT）17,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
77,商品画像タイプ18,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
78,商品画像パス18,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_18""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_17.jpg
79,商品画像名（ALT）18,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
80,商品画像タイプ19,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
81,商品画像パス19,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_19""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/sumahoya10/f-bic-prt_18.jpg
82,商品画像名（ALT）19,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
83,商品画像タイプ20,使用,C,設定・固定値マスター,固定値,"常に ""CABINET""",CABINET
84,商品画像パス20,使用,B,規則生成+画像実体確認,"代表商品コードから規則生成: ""/sumahoya10/""+代表商品コード+""_20""+"".jpg""",確定(2026-09-09)。画像枚数はシート2「楽天登録対象」の「画像枚数」列を人間が入力(自動判定不可)。実ファイルのアップロードは別工程(人間),/html/review_present.jpg
85,商品画像名（ALT）20,使用,D,AI生成,AI生成(画像ALT),現状はキャッチコピーの使い回し。方針を要確認,【最大30%offクーポン】arrowsWe2ケースかわいいArrowsWe2ケースF-52Earr
86,動画,未使用(全行空欄),-,-,-,-,
87,白背景画像タイプ,使用,C,設定・固定値マスター,固定値,"""CABINET""",CABINET
88,白背景画像パス,使用,B,規則生成+画像実体確認,SKU単位で規則生成,カタログID(JAN)ベースのパス。実ファイル確認が必要,/sku2/4571679694167.jpg
89,商品情報レイアウト,使用,C,設定・固定値マスター,固定値,全商品共通の店舗テンプレート設定,1
90,ヘッダー・フッター・レフトナビ,使用,C,設定・固定値マスター,固定値,全商品共通の店舗テンプレート設定,自動選択
91,表示項目の並び順,使用,C,設定・固定値マスター,固定値,全商品共通の店舗テンプレート設定,自動選択
92,共通説明文（小）,使用,C,設定・固定値マスター,固定値,全商品共通の店舗テンプレート設定,自動選択
93,目玉商品,使用,C,設定・固定値マスター,固定値,全商品共通の店舗テンプレート設定,自動選択
94,共通説明文（大）,使用,C,設定・固定値マスター,固定値,全商品共通の店舗テンプレート設定,自動選択
95,レビュー本文表示,使用,C,設定・固定値マスター,固定値,全商品共通の店舗テンプレート設定,2
96,メーカー提供情報表示,使用,C,設定・固定値マスター,固定値,全商品共通の店舗テンプレート設定,1
97,バリエーション項目キー定義,使用,C,設定・固定値マスター,"固定値 ""Key0|Key1|Key2|Key3""",4軸固定(機種・カラー・追加オプション・お得なセット),Key0|Key1|Key2|Key3
98,バリエーション項目名定義,使用,C,設定・固定値マスター,"固定値 ""機種|カラー|追加オプション|お得なセット""",,機種|カラー|追加オプション|お得なセット
99,バリエーション1選択肢定義,使用,B,SKU展開(商品マスターから集計),SKU群の選択肢を集計し固定表示名テーブルで整形,表示名は商品マスターの文字列を直接使わず固定対応表で管理(色名の表記ゆれあり、6章参照),arrows We3|arrows We2|arrows We2 Plus
100,バリエーション2選択肢定義,使用,B,SKU展開(商品マスターから集計),SKU群の選択肢を集計し固定表示名テーブルで整形,表示名は商品マスターの文字列を直接使わず固定対応表で管理(色名の表記ゆれあり、6章参照),01.ペールピンク|02.ピンク|03.パープル|04.グリーン|05.グレー|06.ブラック|07
101,バリエーション3選択肢定義,使用,B,SKU展開(商品マスターから集計),SKU群の選択肢を集計し固定表示名テーブルで整形,表示名は商品マスターの文字列を直接使わず固定対応表で管理(色名の表記ゆれあり、6章参照),名入れあり(内容を入力して下さい)|名入れ無しマグネットリング付き|名入れ無し
102,バリエーション4選択肢定義,使用,B,SKU展開(商品マスターから集計),SKU群の選択肢を集計し固定表示名テーブルで整形,表示名は商品マスターの文字列を直接使わず固定対応表で管理(色名の表記ゆれあり、6章参照),ケース単品|ケース&ガラスフィルムセット
103,バリエーション5選択肢定義,未使用(全行空欄),-,-,-,-,
104,バリエーション6選択肢定義,未使用(全行空欄),-,-,-,-,
105,選択肢タイプ,使用,C,設定・固定値マスター,"固定値 ""s""",,s
106,商品オプション項目名,使用,C,設定・固定値マスター,固定値,"""フォント書体を選択""等、名入れオプションの設定",フォント書体を選択
107,商品オプション選択肢1,使用,C,設定・固定値マスター,固定値,名入れフォント書体の選択肢(Type-01〜05等)。商品タグに応じ空欄/設定,Type-01：ゴシック体
108,商品オプション選択肢2,使用,C,設定・固定値マスター,固定値,名入れフォント書体の選択肢(Type-01〜05等)。商品タグに応じ空欄/設定,Type-02：丸筆記体
109,商品オプション選択肢3,使用,C,設定・固定値マスター,固定値,名入れフォント書体の選択肢(Type-01〜05等)。商品タグに応じ空欄/設定,Type-03：手描き筆記体
110,商品オプション選択肢4,使用,C,設定・固定値マスター,固定値,名入れフォント書体の選択肢(Type-01〜05等)。商品タグに応じ空欄/設定,Type-04：明朝体
111,商品オプション選択肢5,使用,C,設定・固定値マスター,固定値,名入れフォント書体の選択肢(Type-01〜05等)。商品タグに応じ空欄/設定,Type-05：シンプルゴシック体
112,商品オプション選択肢6,未使用(全行空欄),-,-,-,-,
113,商品オプション選択肢7,未使用(全行空欄),-,-,-,-,
114,商品オプション選択肢8,未使用(全行空欄),-,-,-,-,
115,商品オプション選択肢9,未使用(全行空欄),-,-,-,-,
116,商品オプション選択肢10,未使用(全行空欄),-,-,-,-,
117,商品オプション選択肢11,未使用(全行空欄),-,-,-,-,
118,商品オプション選択肢12,未使用(全行空欄),-,-,-,-,
119,商品オプション選択肢13,未使用(全行空欄),-,-,-,-,
120,商品オプション選択肢14,未使用(全行空欄),-,-,-,-,
121,商品オプション選択肢15,未使用(全行空欄),-,-,-,-,
122,商品オプション選択肢16,未使用(全行空欄),-,-,-,-,
123,商品オプション選択肢17,未使用(全行空欄),-,-,-,-,
124,商品オプション選択肢18,未使用(全行空欄),-,-,-,-,
125,商品オプション選択肢19,未使用(全行空欄),-,-,-,-,
126,商品オプション選択肢20,未使用(全行空欄),-,-,-,-,
127,商品オプション選択肢21,未使用(全行空欄),-,-,-,-,
128,商品オプション選択肢22,未使用(全行空欄),-,-,-,-,
129,商品オプション選択肢23,未使用(全行空欄),-,-,-,-,
130,商品オプション選択肢24,未使用(全行空欄),-,-,-,-,
131,商品オプション選択肢25,未使用(全行空欄),-,-,-,-,
132,商品オプション選択肢26,未使用(全行空欄),-,-,-,-,
133,商品オプション選択肢27,未使用(全行空欄),-,-,-,-,
134,商品オプション選択肢28,未使用(全行空欄),-,-,-,-,
135,商品オプション選択肢29,未使用(全行空欄),-,-,-,-,
136,商品オプション選択肢30,未使用(全行空欄),-,-,-,-,
137,商品オプション選択肢31,未使用(全行空欄),-,-,-,-,
138,商品オプション選択肢32,未使用(全行空欄),-,-,-,-,
139,商品オプション選択肢33,未使用(全行空欄),-,-,-,-,
140,商品オプション選択肢34,未使用(全行空欄),-,-,-,-,
141,商品オプション選択肢35,未使用(全行空欄),-,-,-,-,
142,商品オプション選択肢36,未使用(全行空欄),-,-,-,-,
143,商品オプション選択肢37,未使用(全行空欄),-,-,-,-,
144,商品オプション選択肢38,未使用(全行空欄),-,-,-,-,
145,商品オプション選択肢39,未使用(全行空欄),-,-,-,-,
146,商品オプション選択肢40,未使用(全行空欄),-,-,-,-,
147,商品オプション選択肢41,未使用(全行空欄),-,-,-,-,
148,商品オプション選択肢42,未使用(全行空欄),-,-,-,-,
149,商品オプション選択肢43,未使用(全行空欄),-,-,-,-,
150,商品オプション選択肢44,未使用(全行空欄),-,-,-,-,
151,商品オプション選択肢45,未使用(全行空欄),-,-,-,-,
152,商品オプション選択肢46,未使用(全行空欄),-,-,-,-,
153,商品オプション選択肢47,未使用(全行空欄),-,-,-,-,
154,商品オプション選択肢48,未使用(全行空欄),-,-,-,-,
155,商品オプション選択肢49,未使用(全行空欄),-,-,-,-,
156,商品オプション選択肢50,未使用(全行空欄),-,-,-,-,
157,商品オプション選択肢51,未使用(全行空欄),-,-,-,-,
158,商品オプション選択肢52,未使用(全行空欄),-,-,-,-,
159,商品オプション選択肢53,未使用(全行空欄),-,-,-,-,
160,商品オプション選択肢54,未使用(全行空欄),-,-,-,-,
161,商品オプション選択肢55,未使用(全行空欄),-,-,-,-,
162,商品オプション選択肢56,未使用(全行空欄),-,-,-,-,
163,商品オプション選択肢57,未使用(全行空欄),-,-,-,-,
164,商品オプション選択肢58,未使用(全行空欄),-,-,-,-,
165,商品オプション選択肢59,未使用(全行空欄),-,-,-,-,
166,商品オプション選択肢60,未使用(全行空欄),-,-,-,-,
167,商品オプション選択肢61,未使用(全行空欄),-,-,-,-,
168,商品オプション選択肢62,未使用(全行空欄),-,-,-,-,
169,商品オプション選択肢63,未使用(全行空欄),-,-,-,-,
170,商品オプション選択肢64,未使用(全行空欄),-,-,-,-,
171,商品オプション選択肢65,未使用(全行空欄),-,-,-,-,
172,商品オプション選択肢66,未使用(全行空欄),-,-,-,-,
173,商品オプション選択肢67,未使用(全行空欄),-,-,-,-,
174,商品オプション選択肢68,未使用(全行空欄),-,-,-,-,
175,商品オプション選択肢69,未使用(全行空欄),-,-,-,-,
176,商品オプション選択肢70,未使用(全行空欄),-,-,-,-,
177,商品オプション選択肢71,未使用(全行空欄),-,-,-,-,
178,商品オプション選択肢72,未使用(全行空欄),-,-,-,-,
179,商品オプション選択肢73,未使用(全行空欄),-,-,-,-,
180,商品オプション選択肢74,未使用(全行空欄),-,-,-,-,
181,商品オプション選択肢75,未使用(全行空欄),-,-,-,-,
182,商品オプション選択肢76,未使用(全行空欄),-,-,-,-,
183,商品オプション選択肢77,未使用(全行空欄),-,-,-,-,
184,商品オプション選択肢78,未使用(全行空欄),-,-,-,-,
185,商品オプション選択肢79,未使用(全行空欄),-,-,-,-,
186,商品オプション選択肢80,未使用(全行空欄),-,-,-,-,
187,商品オプション選択肢81,未使用(全行空欄),-,-,-,-,
188,商品オプション選択肢82,未使用(全行空欄),-,-,-,-,
189,商品オプション選択肢83,未使用(全行空欄),-,-,-,-,
190,商品オプション選択肢84,未使用(全行空欄),-,-,-,-,
191,商品オプション選択肢85,未使用(全行空欄),-,-,-,-,
192,商品オプション選択肢86,未使用(全行空欄),-,-,-,-,
193,商品オプション選択肢87,未使用(全行空欄),-,-,-,-,
194,商品オプション選択肢88,未使用(全行空欄),-,-,-,-,
195,商品オプション選択肢89,未使用(全行空欄),-,-,-,-,
196,商品オプション選択肢90,未使用(全行空欄),-,-,-,-,
197,商品オプション選択肢91,未使用(全行空欄),-,-,-,-,
198,商品オプション選択肢92,未使用(全行空欄),-,-,-,-,
199,商品オプション選択肢93,未使用(全行空欄),-,-,-,-,
200,商品オプション選択肢94,未使用(全行空欄),-,-,-,-,
201,商品オプション選択肢95,未使用(全行空欄),-,-,-,-,
202,商品オプション選択肢96,未使用(全行空欄),-,-,-,-,
203,商品オプション選択肢97,未使用(全行空欄),-,-,-,-,
204,商品オプション選択肢98,未使用(全行空欄),-,-,-,-,
205,商品オプション選択肢99,未使用(全行空欄),-,-,-,-,
206,商品オプション選択肢100,未使用(全行空欄),-,-,-,-,
207,商品オプション選択必須,使用,C,設定・固定値マスター,固定値,,0
208,SKU管理番号,使用,B,SKU生成ルール,新規SKUは商品コードをそのまま使用。既存SKUは既存値を保持(再計算しない),"確定(2026-09-09)。旧世代(We2/We2 Plus)の末尾""5""付与ルールは新規採番では踏襲しない",a003
209,システム連携用SKU番号,使用,A,商品マスター:商品コード,参照(商品コードをそのまま使用),実データで288/288件が完全一致,f-bic-prt-01We2-01IVY
210,バリエーション項目キー1,使用,C,設定・固定値マスター,固定値 (Key0〜Key3),,Key0
211,バリエーション項目選択肢1,使用,B,SKU展開,サイズコード→機種名 対応表,,arrows We2
212,バリエーション項目キー2,使用,C,設定・固定値マスター,固定値 (Key0〜Key3),,Key1
213,バリエーション項目選択肢2,使用,B,SKU展開,カラーコード→表示名 対応表,商品マスターのカラー列は表記ゆれ/不整合があるため直接使用しない(データ解析報告参照),01.ペールピンク
214,バリエーション項目キー3,使用,C,設定・固定値マスター,固定値 (Key0〜Key3),,Key2
215,バリエーション項目選択肢3,使用,B,SKU展開,商品コードの追加オプション接尾辞(P/MG)から判定,,名入れ無し
216,バリエーション項目キー4,使用,C,設定・固定値マスター,固定値 (Key0〜Key3),,Key3
217,バリエーション項目選択肢4,使用,B,SKU展開,商品コードのセット接尾辞(9H)から判定,,ケース単品
218,バリエーション項目キー5,未使用(全行空欄),-,-,-,-,
219,バリエーション項目選択肢5,未使用(全行空欄),-,-,-,-,
220,バリエーション項目キー6,未使用(全行空欄),-,-,-,-,
221,バリエーション項目選択肢6,未使用(全行空欄),-,-,-,-,
222,通常購入販売価格,使用,A,商品マスター:販売価格,参照(そのまま使用),確定(2026-09-09)。ダウンロード時点の楽天CSVはセール中の価格だったため参考にしない,1150
223,表示価格,使用,A,商品マスター:販売価格,参照(通常購入販売価格と同値),確定(2026-09-09)。二重価格表示は行わない,2310
224,二重価格文言管理番号,使用,C,設定・固定値マスター,固定値,,2
225,注文受付数,未使用(全行空欄),-,-,-,-,
226,再入荷お知らせボタン,使用,C,設定・固定値マスター,固定値,,0
227,のし対応,使用,C,設定・固定値マスター,固定値,,0
228,在庫数,使用,C,設定・固定値マスター,固定値 0,確定(2026-09-09)。公開後は倉庫システムとのAPI連携で自動更新されるため登録時は一律0,149
229,在庫戻しフラグ,使用,C,設定・固定値マスター,固定値,,0
230,在庫切れ時の注文受付,使用,C,設定・固定値マスター,固定値,,1
231,在庫あり時納期管理番号,使用,C,設定・固定値マスター,固定値,倉庫・納期設定(枚方倉庫等),7
232,在庫切れ時納期管理番号,使用,C,設定・固定値マスター,固定値,倉庫・納期設定(枚方倉庫等),2
